instrument_id,symbol,venue_primary,asset_class,currency,tick_size,lot_size,price_display_decimals,fee_scheme,isin,sector,status,effective_from,effective_to
AAPL.P.XNAS,AAPL,XNAS,EQUITY,USD,0.01,1,2,MAKER/TAKER,US0378331005,Technology,ACTIVE,2020-01-01,
MSFT.P.XNAS,MSFT,XNAS,EQUITY,USD,0.01,1,2,MAKER/TAKER,US5949181045,Technology,ACTIVE,2020-01-01,
TSLA.P.XNAS,TSLA,XNAS,EQUITY,USD,0.01,1,2,MAKER/TAKER,US88160R1014,Consumer Cyclical,ACTIVE,2020-01-01,
SPY.P.ARCA,SPY,ARCA,ETF,USD,0.01,1,2,MAKER/TAKER,US78462F1030,Index Fund,ACTIVE,2020-01-01,
NVDA.P.XNAS,NVDA,XNAS,EQUITY,USD,0.01,1,2,MAKER/TAKER,US67066G1040,Technology,ACTIVE,2020-01-01,
AMZN.P.XNAS,AMZN,XNAS,EQUITY,USD,0.01,1,2,MAKER/TAKER,US0231351067,Consumer Cyclical,ACTIVE,2020-01-01,
